Pairs,Thresholds,PnLs,rank
"('BB', 'DD')",0.0005,25935.799999999952,1.0
"('BB', 'DD')",0.0015555555555555557,16501.04999999998,2.0
"('BB', 'DD')",0.0026111111111111114,12406.19999999997,3.0
"('BB', 'DD')",0.0036666666666666666,9018.149999999985,4.0
"('BB', 'DD')",0.004722222222222222,7457.8000000000175,5.0
"('BB', 'DD')",0.005777777777777778,6556.800000000007,6.0
"('BB', 'DD')",0.006833333333333334,5757.399999999998,7.0
"('BB', 'DD')",0.00788888888888889,4732.19999999999,8.0
"('BB', 'DD')",0.008944444444444446,4414.899999999992,10.0
"('BB', 'DD')",0.01,4505.35000000002,9.0
"('BB', 'JJ')",0.00022000000000000003,67810.25000000006,1.0
"('BB', 'JJ')",0.0006844444444444444,55427.350000000064,2.0
"('BB', 'JJ')",0.001148888888888889,45365.10000000001,3.0
"('BB', 'JJ')",0.0016133333333333334,38873.15000000001,4.0
"('BB', 'JJ')",0.0020777777777777778,34452.94999999998,5.0
"('BB', 'JJ')",0.0025422222222222226,29942.69999999993,6.0
"('BB', 'JJ')",0.003006666666666667,29722.24999999997,7.0
"('BB', 'JJ')",0.003471111111111112,27583.29999999996,8.0
"('BB', 'JJ')",0.003935555555555556,24979.79999999997,9.0
"('BB', 'JJ')",0.0044,22907.39999999994,10.0
"('DD', 'HH')",0.000485,13098.55,1.0
"('DD', 'HH')",0.001508888888888889,7741.050000000005,2.0
"('DD', 'HH')",0.002532777777777778,5910.549999999996,3.0
"('DD', 'HH')",0.0035566666666666663,4758.399999999989,4.0
"('DD', 'HH')",0.004580555555555556,4416.9,5.0
"('DD', 'HH')",0.005604444444444445,3973.2000000000116,6.0
"('DD', 'HH')",0.006628333333333333,3345.299999999992,7.0
"('DD', 'HH')",0.0076522222222222235,2946.549999999992,8.0
"('DD', 'HH')",0.008676111111111112,2622.30000000001,9.0
"('DD', 'HH')",0.0097,2345.300000000012,10.0
"('DD', 'JJ')",0.00036,27720.250000000022,1.0
"('DD', 'JJ')",0.00112,18763.800000000017,2.0
"('DD', 'JJ')",0.0018800000000000002,14338.30000000002,3.0
"('DD', 'JJ')",0.0026399999999999996,13283.949999999995,4.0
"('DD', 'JJ')",0.0034,11836.95000000002,5.0
"('DD', 'JJ')",0.0041600000000000005,10601.850000000048,6.0
"('DD', 'JJ')",0.00492,9583.100000000017,7.0
"('DD', 'JJ')",0.00568,8666.30000000001,8.0
"('DD', 'JJ')",0.00644,8096.4,9.0
"('DD', 'JJ')",0.0072,7553.250000000018,10.0
"('FF', 'MM')",0.000155,79082.70000000006,1.0
"('FF', 'MM')",0.0004822222222222222,63170.449999999975,2.0
"('FF', 'MM')",0.0008094444444444444,54144.55000000003,3.0
"('FF', 'MM')",0.0011366666666666665,46575.60000000002,4.0
"('FF', 'MM')",0.0014638888888888887,41351.09999999996,5.0
"('FF', 'MM')",0.0017911111111111112,36311.399999999994,6.0
"('FF', 'MM')",0.002118333333333333,33438.399999999936,7.0
"('FF', 'MM')",0.002445555555555556,30954.599999999944,8.0
"('FF', 'MM')",0.0027727777777777777,28452.19999999996,9.0
"('FF', 'MM')",0.0031,26322.099999999984,10.0
"('FF', 'NN')",0.00030500000000000004,26567.49999999997,1.0
"('FF', 'NN')",0.000948888888888889,17358.300000000036,2.0
"('FF', 'NN')",0.001592777777777778,12685.250000000022,4.0
"('FF', 'NN')",0.0022366666666666668,13133.89999999999,3.0
"('FF', 'NN')",0.0028805555555555555,11462.849999999995,5.0
"('FF', 'NN')",0.003524444444444445,10005.400000000016,6.0
"('FF', 'NN')",0.004168333333333334,9166.399999999996,7.0
"('FF', 'NN')",0.004812222222222223,7924.550000000011,8.0
"('FF', 'NN')",0.005456111111111112,7317.550000000004,9.0
"('FF', 'NN')",0.0061,6487.900000000012,10.0
"('MM', 'NN')",0.00034,21631.400000000038,1.0
"('MM', 'NN')",0.0010577777777777777,14150.399999999987,2.0
"('MM', 'NN')",0.0017755555555555556,10763.800000000008,3.0
"('MM', 'NN')",0.002493333333333333,8504.399999999989,4.0
"('MM', 'NN')",0.0032111111111111108,6993.599999999988,5.0
"('MM', 'NN')",0.003928888888888889,6374.400000000009,6.0
"('MM', 'NN')",0.004646666666666666,4626.199999999973,7.0
"('MM', 'NN')",0.005364444444444445,3640.7999999999956,8.0
"('MM', 'NN')",0.006082222222222222,3486.799999999983,9.0
"('MM', 'NN')",0.0068,2967.1999999999807,10.0
"('BB', 'HH')",0.0009050000000000001,6505.80000000001,1.0
"('BB', 'HH')",0.002815555555555556,2856.0000000000073,2.0
"('BB', 'HH')",0.0047261111111111115,1297.9999999999782,3.0
"('BB', 'HH')",0.006636666666666667,527.5999999999894,4.0
"('BB', 'HH')",0.008547222222222223,-210.0,5.0
"('BB', 'HH')",0.01045777777777778,-800.8000000000084,7.0
"('BB', 'HH')",0.012368333333333335,-855.600000000004,8.0
"('BB', 'HH')",0.014278888888888891,-665.7999999999975,6.0
"('BB', 'HH')",0.016189444444444447,-1105.199999999987,9.0
"('BB', 'HH')",0.0181,-1216.9999999999955,10.0
"('HH', 'JJ')",0.00045,9973.300000000003,1.0
"('HH', 'JJ')",0.0014,5711.1,2.0
"('HH', 'JJ')",0.00235,3792.1500000000233,3.0
"('HH', 'JJ')",0.0032999999999999995,2606.000000000018,4.0
"('HH', 'JJ')",0.0042499999999999994,2285.5999999999967,5.0
"('HH', 'JJ')",0.0052,2262.8499999999985,6.0
"('HH', 'JJ')",0.00615,2022.3999999999996,7.0
"('HH', 'JJ')",0.0071,1476.9500000000062,8.0
"('HH', 'JJ')",0.00805,916.2000000000025,9.0
"('HH', 'JJ')",0.009,886.0499999999993,10.0
"('AA', 'II')",0.00107,18215.249999999935,1.0
"('AA', 'II')",0.0033288888888888886,10419.649999999983,2.0
"('AA', 'II')",0.0055877777777777774,6042.70000000001,3.0
"('AA', 'II')",0.007846666666666665,5491.199999999993,4.0
"('AA', 'II')",0.010105555555555555,4634.700000000001,5.0
"('AA', 'II')",0.012364444444444445,3626.7999999999975,6.0
"('AA', 'II')",0.014623333333333334,3260.500000000002,7.0
"('AA', 'II')",0.016882222222222222,1600.3999999999978,10.0
"('AA', 'II')",0.019141111111111112,1730.0,8.0
"('AA', 'II')",0.0214,1682.3999999999978,9.0
