,0
BB Pos - Thres: 0.0005,760
DD Pos - Thres: 0.0005,760
BB Pos - Thres: 0.0015555555555555557,624
DD Pos - Thres: 0.0015555555555555557,624
BB Pos - Thres: 0.0026111111111111114,463
DD Pos - Thres: 0.0026111111111111114,463
BB Pos - Thres: 0.0036666666666666666,329
DD Pos - Thres: 0.0036666666666666666,329
BB Pos - Thres: 0.004722222222222222,263
DD Pos - Thres: 0.004722222222222222,263
BB Pos - Thres: 0.005777777777777778,225
DD Pos - Thres: 0.005777777777777778,225
BB Pos - Thres: 0.006833333333333334,193
DD Pos - Thres: 0.006833333333333334,193
BB Pos - Thres: 0.00788888888888889,161
DD Pos - Thres: 0.00788888888888889,161
BB Pos - Thres: 0.008944444444444446,145
DD Pos - Thres: 0.008944444444444446,145
BB Pos - Thres: 0.01,137
DD Pos - Thres: 0.01,137
BB Pos - Thres: 0.00022000000000000003,1605
JJ Pos - Thres: 0.00022000000000000003,1605
BB Pos - Thres: 0.0006844444444444444,1697
JJ Pos - Thres: 0.0006844444444444444,1697
BB Pos - Thres: 0.001148888888888889,1527
JJ Pos - Thres: 0.001148888888888889,1527
BB Pos - Thres: 0.0016133333333333334,1333
JJ Pos - Thres: 0.0016133333333333334,1333
BB Pos - Thres: 0.0020777777777777778,1176
JJ Pos - Thres: 0.0020777777777777778,1176
BB Pos - Thres: 0.0025422222222222226,1011
JJ Pos - Thres: 0.0025422222222222226,1011
BB Pos - Thres: 0.003006666666666667,860
JJ Pos - Thres: 0.003006666666666667,860
BB Pos - Thres: 0.003471111111111112,768
JJ Pos - Thres: 0.003471111111111112,768
BB Pos - Thres: 0.003935555555555556,672
JJ Pos - Thres: 0.003935555555555556,672
BB Pos - Thres: 0.0044,594
JJ Pos - Thres: 0.0044,594
DD Pos - Thres: 0.000485,440
HH Pos - Thres: 0.000485,440
DD Pos - Thres: 0.001508888888888889,308
HH Pos - Thres: 0.001508888888888889,308
DD Pos - Thres: 0.002532777777777778,227
HH Pos - Thres: 0.002532777777777778,227
DD Pos - Thres: 0.0035566666666666663,177
HH Pos - Thres: 0.0035566666666666663,177
DD Pos - Thres: 0.004580555555555556,153
HH Pos - Thres: 0.004580555555555556,153
DD Pos - Thres: 0.005604444444444445,131
HH Pos - Thres: 0.005604444444444445,131
DD Pos - Thres: 0.006628333333333333,109
HH Pos - Thres: 0.006628333333333333,109
DD Pos - Thres: 0.0076522222222222235,95
HH Pos - Thres: 0.0076522222222222235,95
DD Pos - Thres: 0.008676111111111112,83
HH Pos - Thres: 0.008676111111111112,83
DD Pos - Thres: 0.0097,73
HH Pos - Thres: 0.0097,73
DD Pos - Thres: 0.00036,650
JJ Pos - Thres: 0.00036,650
DD Pos - Thres: 0.00112,507
JJ Pos - Thres: 0.00112,507
DD Pos - Thres: 0.0018800000000000002,359
JJ Pos - Thres: 0.0018800000000000002,359
DD Pos - Thres: 0.0026399999999999996,305
JJ Pos - Thres: 0.0026399999999999996,305
DD Pos - Thres: 0.0034,251
JJ Pos - Thres: 0.0034,251
DD Pos - Thres: 0.0041600000000000005,209
JJ Pos - Thres: 0.0041600000000000005,209
DD Pos - Thres: 0.00492,184
JJ Pos - Thres: 0.00492,184
DD Pos - Thres: 0.00568,158
JJ Pos - Thres: 0.00568,158
DD Pos - Thres: 0.00644,138
JJ Pos - Thres: 0.00644,138
DD Pos - Thres: 0.0072,122
JJ Pos - Thres: 0.0072,122
FF Pos - Thres: 0.000155,1543
MM Pos - Thres: 0.000155,1543
FF Pos - Thres: 0.0004822222222222222,1583
MM Pos - Thres: 0.0004822222222222222,1583
FF Pos - Thres: 0.0008094444444444444,1463
MM Pos - Thres: 0.0008094444444444444,1463
FF Pos - Thres: 0.0011366666666666665,1257
MM Pos - Thres: 0.0011366666666666665,1257
FF Pos - Thres: 0.0014638888888888887,1105
MM Pos - Thres: 0.0014638888888888887,1105
FF Pos - Thres: 0.0017911111111111112,938
MM Pos - Thres: 0.0017911111111111112,938
FF Pos - Thres: 0.002118333333333333,831
MM Pos - Thres: 0.002118333333333333,831
FF Pos - Thres: 0.002445555555555556,743
MM Pos - Thres: 0.002445555555555556,743
FF Pos - Thres: 0.0027727777777777777,659
MM Pos - Thres: 0.0027727777777777777,659
FF Pos - Thres: 0.0031,591
MM Pos - Thres: 0.0031,591
FF Pos - Thres: 0.00030500000000000004,809
NN Pos - Thres: 0.00030500000000000004,809
FF Pos - Thres: 0.000948888888888889,690
NN Pos - Thres: 0.000948888888888889,690
FF Pos - Thres: 0.001592777777777778,527
NN Pos - Thres: 0.001592777777777778,527
FF Pos - Thres: 0.0022366666666666668,406
NN Pos - Thres: 0.0022366666666666668,406
FF Pos - Thres: 0.0028805555555555555,336
NN Pos - Thres: 0.0028805555555555555,336
FF Pos - Thres: 0.003524444444444445,276
NN Pos - Thres: 0.003524444444444445,276
FF Pos - Thres: 0.004168333333333334,238
NN Pos - Thres: 0.004168333333333334,238
FF Pos - Thres: 0.004812222222222223,196
NN Pos - Thres: 0.004812222222222223,196
FF Pos - Thres: 0.005456111111111112,172
NN Pos - Thres: 0.005456111111111112,172
FF Pos - Thres: 0.0061,146
NN Pos - Thres: 0.0061,146
MM Pos - Thres: 0.00034,695
NN Pos - Thres: 0.00034,695
MM Pos - Thres: 0.0010577777777777777,588
NN Pos - Thres: 0.0010577777777777777,588
MM Pos - Thres: 0.0017755555555555556,460
NN Pos - Thres: 0.0017755555555555556,460
MM Pos - Thres: 0.002493333333333333,361
NN Pos - Thres: 0.002493333333333333,361
MM Pos - Thres: 0.0032111111111111108,295
NN Pos - Thres: 0.0032111111111111108,295
MM Pos - Thres: 0.003928888888888889,261
NN Pos - Thres: 0.003928888888888889,261
MM Pos - Thres: 0.004646666666666666,201
NN Pos - Thres: 0.004646666666666666,201
MM Pos - Thres: 0.005364444444444445,167
NN Pos - Thres: 0.005364444444444445,167
MM Pos - Thres: 0.006082222222222222,155
NN Pos - Thres: 0.006082222222222222,155
MM Pos - Thres: 0.0068,137
NN Pos - Thres: 0.0068,137
BB Pos - Thres: 0.0009050000000000001,373
HH Pos - Thres: 0.0009050000000000001,373
BB Pos - Thres: 0.002815555555555556,253
HH Pos - Thres: 0.002815555555555556,253
